1500100010,羿彦昌,23,男,理科六班
1500100012,梁易槐,21,女,理科一班
1500100020,杭振凯,23,男,理科四班
1500100025,翁飞昂,22,男,文科四班
1500100026,向鹏池,21,男,理科四班
1500100045,仇运晟,21,男,理科一班
1500100059,席昌燎,24,男,理科二班
1500100074,史鹏煊,22,男,理科六班
1500100075,谭春蕾,21,女,文科二班
1500100082,凌思菱,22,女,文科一班
1500100095,尹宛秋,23,女,文科三班
1500100112,祖昆琦,21,男,理科三班
1500100146,于向南,23,女,理科三班
1500100155,广高旻,24,男,文科四班
1500100155,广高旻,24,男,文科四班
1500100156,姚星爵,23,男,理科五班
1500100204,屠昆纬,24,男,理科六班
1500100222,赵嘉澍,22,男,文科六班
1500100222,赵嘉澍,22,男,文科六班
1500100228,孙鑫鹏,22,男,理科六班
1500100241,石怀绿,21,女,文科四班
1500100248,盛学智,23,男,文科二班
1500100251,曹德昌,24,男,理科四班
1500100276,庾运鹏,24,男,文科一班
1500100291,毋高朗,21,男,文科二班
1500100300,吴采波,21,女,理科二班
1500100300,吴采波,21,女,理科二班
1500100305,鞠访烟,22,女,理科四班
1500100323,周德昌,24,男,理科一班
1500100331,辛昂熙,23,男,文科二班
1500100359,隆书雁,22,女,理科三班
1500100360,慎曜栋,24,男,理科五班
1500100378,余昆宇,22,男,文科二班
1500100380,查昆峰,23,男,文科四班
1500100380,查昆峰,23,男,文科四班
1500100392,童景行,21,男,文科二班
1500100404,储痴安,24,女,文科三班
1500100432,巫旭炎,22,男,文科五班
1500100438,宋向南,22,女,文科六班
1500100441,廖飞莲,21,女,文科六班
1500100457,那鸿羲,23,男,文科四班
1500100470,巴书琴,22,女,理科二班
1500100471,钟冰真,21,女,文科三班
1500100475,窦南莲,23,女,文科四班
1500100477,鱼星然,24,男,文科二班
1500100487,李天蓉,21,女,理科六班
1500100490,查白翠,22,女,文科六班
1500100496,高寄琴,22,女,文科四班
1500100502,靳天薇,21,女,文科四班
1500100521,籍德昌,24,男,文科三班
1500100525,辛宣朗,21,男,文科四班
1500100532,伍盼曼,22,女,文科三班
1500100536,栾昊苍,23,男,文科一班
1500100538,郑彦昌,24,男,文科三班
1500100548,荆觅雪,21,女,文科四班
1500100549,祝宛南,21,女,文科三班
1500100571,向星泽,24,男,文科六班
1500100575,张恨桃,24,女,理科五班
1500100587,钭恨山,23,女,文科一班
1500100590,逄中震,24,男,理科四班
1500100595,麻轩昂,23,男,理科五班
1500100596,田晨潍,21,男,理科六班
1500100606,常之玉,22,女,理科二班
1500100606,常之玉,22,女,理科二班
1500100646,窦海阳,24,男,文科一班
1500100651,丁从安,21,女,文科四班
1500100659,祁昊天,22,男,文科二班
1500100664,桂芷卉,21,女,文科五班
1500100664,桂芷卉,21,女,文科五班
1500100666,贲初夏,24,女,文科五班
1500100672,傅宣朗,24,男,文科二班
1500100679,尹耘涛,24,男,理科四班
1500100682,庾亦凝,24,女,文科六班
1500100682,庾亦凝,24,女,文科六班
1500100696,松易绿,24,女,理科三班
1500100709,俞昂杰,23,男,文科一班
1500100716,丰冷霜,22,女,文科六班
1500100725,董运珧,24,男,理科五班
1500100726,任笑容,23,女,理科五班
1500100746,宓宛丝,23,女,理科二班
1500100779,於安珊,23,女,文科一班
1500100804,巴巧兰,24,女,文科四班
1500100818,谢德泽,24,男,文科六班
1500100828,邵智杰,22,男,文科二班
1500100829,尤香薇,22,女,文科六班
1500100829,尤香薇,22,女,文科六班
1500100851,白运盛,22,男,理科六班
1500100865,莫金鹏,23,男,理科三班
1500100868,勾书雁,24,女,文科二班
1500100868,勾书雁,24,女,文科二班
1500100901,崔海昌,21,男,理科六班
1500100925,卞乐萱,21,女,理科一班
1500100927,濮恨蕊,23,女,文科三班
1500100939,耿智杰,23,男,理科四班
1500100962,毕德明,23,男,理科二班
1500100972,王昂杰,23,男,理科二班
1500100977,邹飞珍,23,女,文科四班
1500100990,扈旭鹏,23,男,理科三班
1500101000,符瑞渊,23,男,理科六班
